id,versions,displayName,abbreviation
1501,"[{'id': 2013, 'md5': '0AAC69DFB6A5A1143107A9B63F60B7A8', 'sha1': 'ADB9E2CDE409C807456F3F4DCC51DADF3D59E62F', 'name': 'rockman3BC.nes', 'type': 2, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Rockman 3: Burst Chaser,r3bc
1504,"[{'id': 352, 'md5': '38199CDD610D51A3E8093A3FB62F8DFF', 'sha1': '5CF96CC527659D30CE64D6B6D6072E3AE87FC507', 'name': 'Cobra Command (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Cobra Command,cobracmd
1518,"[{'id': 376, 'md5': '9EE4505180745223C0F90F6EBEBBE561', 'sha1': '7363720E0BC3EB2E138DF9D11E816A7176705EFC', 'name': ""Wayne's World (USA).nes"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Wayne's World,wayneswd
1522,"[{'id': 374, 'md5': '80444BFDBCFE2973418500A99693AF5D', 'sha1': '42D8C7F151B1FBB6F9D5DF0D1B000E9C726CE051', 'name': 'Ninja Jajamaru - Ginga Daisakusen (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Ninja Jajamaru: Ginga Daisakusen,njgd
1558,"[{'id': 428, 'md5': 'B600782EB7312EEDF86AF3A931C1B760', 'sha1': 'F7CDE006F62164D77D66A6858C46B4F1F9ED1760', 'name': 'Armadillo (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Armadillo,armadilo
1569,"[{'id': 431, 'md5': '9B6720531ABDE606AF86FE39A66F9E28', 'sha1': '82DF2202F81BFA6DABEF3105991C2E13C283E1D2', 'name': 'Gotcha! - The Sport! (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Gotcha! The Sport!,gotcha
1573,"[{'id': 1359, 'md5': '628A4D11336F546CEE22EDD463D58B3D', 'sha1': None, 'name': 'Titenic (Unl) (As) [f1].nes', 'type': 2, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Titenic,titenic
1582,"[{'id': 469, 'md5': '61F71CE15D3CEB2B91521214771DFF2A', 'sha1': 'B9326FA560C074E0EB611478FD2363DD4104B243', 'name': 'Adventures of Rocky and Bullwinkle and Friends, The (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",The Adventures of Rocky and Bullwinkle and Friends,arbf
1601,"[{'id': 1202, 'md5': '5DFDB8CACCA72106F380D51EC2143A1B', 'sha1': 'DB536D164F42F7D69FFBEA14770427EAAC5157DE', 'name': 'Q Boy (Asia) (Ja) (Unl).nes', 'type': 1, 'region': 'Other', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Q Boy,qboy
1607,"[{'id': 448, 'md5': '5728699D313C3426FF8D8C871C0ACBAD', 'sha1': '2BDFAA5D4482557211A3DEBAE5569B5FE5BC3F8F', 'name': 'Silent Assault (USA) (Unl).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Silent Assault,sassault
1608,"[{'id': 2228, 'md5': 'A3A716C064BA73A0A165E5918BCA4153', 'sha1': '816366EF0B1417BE7553957FA3D256493DD0BF85', 'name': 'Metal Force (K) [!]', 'type': 1, 'region': 'Other', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Metal Force,metalfrc
1614,"[{'id': 453, 'md5': '74AC45F788284B549C3A8DF416932B6F', 'sha1': 'BCEEC93358696071C562173441AD564EF6CACB02', 'name': 'Joust (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4980, 'md5': 'F000FA3B3CAB16372DA8F9D6708AD723', 'sha1': '1D27731A7DD8B9A80C501E121EA12A3C35C77898', 'name': 'Joust (U) [b1].nes', 'type': 3, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Joust,joust
1620,"[{'id': 2665, 'md5': 'FD52E92C00AEC413537B995C7AA66E74', 'sha1': '31ECCAD1B33E8F4BA8DFA319A6DF43A221FFBADC', 'name': 'Super Aladdin (Unl).nes', 'type': 5, 'region': 'Other', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4883, 'md5': '90C0057E9176C48944ADDDEBB4D4C8F1', 'sha1': '1A2565B9324440655B31F8E8FE19783C35DDD5C6', 'name': 'Aladdin (SuperGame) (Mapper 114) [!].nes', 'type': 2, 'region': 'Other', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Super Aladdin,superal
1625,"[{'id': 2529, 'md5': 'C569F24FD292D74E9039E90DD60F54D3', 'sha1': '94C738FDEBF8A52C1F221B587629E0CA4832C99B', 'name': 'Quattro Adventure (Camerica) [b1].nes', 'type': 3, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Quattro Adventure: Boomerang Kid,boomkid
1628,"[{'id': 497, 'md5': '6503099AE7D97117444B479D501DA58A', 'sha1': '137AAD36F5A68C4BEA6D69D13F41A727A1EB3CB2', 'name': 'Great Waldo Search, The (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",The Great Waldo Search,waldosea
1630,"[{'id': 1935, 'md5': 'cdf1f060f467f88c25eb3efb783541e2', 'sha1': '6f38d0ada341f86f3055f689dd0f90c62556d91e', 'name': 'Cosmo Police Galivan (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Cosmo Police: Galivan,cosmopol
1643,"[{'id': 1174, 'md5': None, 'sha1': '8A5F3D42A90C39B6110F89B18937D2CB369FCD98', 'name': 'Quest of Ki, The (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",The Quest of Ki,quok
1645,"[{'id': 1670, 'md5': 'D67ADC0D78F9961FB43B6B6103C56E55', 'sha1': 'A017A0A0AEE71FEA7BCFCB5D889E710516AB330C', 'name': 'Donkey Kong - Original Edition (USA) (Virtual Console).nes', 'type': 1, 'region': 'E', 'version': 'VC', 'systemCode': 'NES', 'sourceDb': None}]",Donkey Kong: Original Edition,dkoe
1646,"[{'id': 2058, 'md5': None, 'sha1': '7B877704AD1AE092756FDE96CE77C34DE5ECD204', 'name': 'Orb 3D (U).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Orb-3D,orb3d
1648,"[{'id': 1149, 'md5': 'FC51C0AA5E3283BED572DE31AC5985B5', 'sha1': '21B4A65356B54815153303F14832BF5B1B8D3B83', 'name': 'Darkman (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Darkman,darkman
1650,"[{'id': 1237, 'md5': 'd370c3788f5fe2fa6e02e9deadc7f56b', 'sha1': '63a1ed8210b24adca73a0647e0c3a5e78b791c27', 'name': 'Ultima - Quest of the Avatar (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Ultima: Quest of the Avatar,ultimava
1651,"[{'id': 2560, 'md5': '76173AF43EC3600E1CC239A306A6F649', 'sha1': 'E8DF29FCBA07CEB539FDEDEECCD87193A02A0B41', 'name': 'Spelunker 2 - Yuusha heno Chousen (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Spelunker II: Yūsha e no Chōsen,spelunk2
1658,"[{'id': 1988, 'md5': '89121902B892B7018F0F274534751632', 'sha1': 'CD1EE26C0CEF8C48B72CC4000AC7A577B8C4C0B5', 'name': 'Wally Bear & the No Gang (AVE) [!].nes', 'type': 1, 'region': 'U', 'version': 'AVE', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Wally Bear and the NO! Gang,walybear
1661,"[{'id': 1286, 'md5': '97BA235B37EE177E3B8CDAC73D5486BC', 'sha1': 'E3CB57C3A292A582CEAA25E97200091557B9AC49', 'name': 'rockman4BCAS ver1.0.nes', 'type': 2, 'region': 'J', 'version': '1.0', 'systemCode': 'NES', 'sourceDb': None}]",Rockman 4 Burst Chaser × Air Sliding,r4bcas
1663,"[{'id': 1513, 'md5': '6E097A41EF977309C434B9B4A0D4D82D', 'sha1': '01EA132A014B655DFD0EF67DA8629CEC3A28EBA1', 'name': 'Last Ninja, The (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",The Last Ninja,lstninja
1670,"[{'id': 2574, 'md5': '4BD587B71381DCC20E01B97D2CA1EF32', 'sha1': '49445B48A47A579BA35551C2298F0032CD59C57F', 'name': 'Frankenstein: The Monster Returns', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Frankenstein: The Monster Returns,frankenr
1677,"[{'id': 2609, 'md5': '74669F264DF775499830F9E6FB60A1E7', 'sha1': '1A9E01A29472F1161BD16E1B4D76994346A505F6', 'name': 'Final Fantasy II (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Final Fantasy II,ff2
1697,"[{'id': 2563, 'md5': '676D302EF1C8BFFA07B2BD58124DFD5D', 'sha1': 'DF91B37AABCF7742BB80EC2B7F5384DF7940BE58', 'name': ""Fester's Quest (U) [!].nes"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Fester's Quest,festqest
1698,"[{'id': 1929, 'md5': 'A185F95B3AE2209644C2D9885DFA1A3B', 'sha1': '6A76C8D01D6D90B5939BAADA51F3C5FB5DDEB864', 'name': ""Nobunaga's Ambition (U) [!].nes"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Nobunaga's Ambition,nobunamb
1710,"[{'id': 1709, 'md5': '35297B58691DED8CD903EC1C3AB80282', 'sha1': 'B42FB8CB404C230CEF46314F0BE4A28445541454', 'name': 'Barbie (U) (REV0) [!].nes', 'type': 1, 'region': 'U', 'version': 'REV0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",Barbie,barbie
1714,"[{'id': 2127, 'md5': '1E377977F7E8C067DD7181271A467959', 'sha1': '5887BBE2D6458F65F6CBCB7AF309629E7C045F86', 'name': 'Valkyrie no Bouken - Toki no Kagi Densetsu (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Valkyrie no Bouken: Toki no Kagi Densetsu,valnobkn
1719,"[{'id': 2176, 'md5': '52C32A7A111152A2D07D1202790476F5', 'sha1': '55987600A5B220F4B31D3AFE8DE38F3BFF15C238', 'name': 'Sesame Street Countdown (U) [b1].nes', 'type': 3, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 5041, 'md5': '81E035FFFAD6E337A4B702835467F93D', 'sha1': 'BF22616E8B2C02CBF2571F61624B28F6F74C12BD', 'name': 'Sesame Street Countdown (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Sesame Street Countdown,sesstrcd
1729,"[{'id': 981, 'md5': '61B503DBBCA19CDA23F531AF5F3E7449', 'sha1': 'E2814B00276B30058070C2149FD837C0FFE046CC', 'name': 'Tetris 2 + BomBliss (J) [a1].nes', 'type': 1, 'region': 'J', 'version': 'a1', 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}, {'id': 4971, 'md5': 'e00ae4799c8cfce0bc66fa238d7eb1d9', 'sha1': '596a7074a9a53bdeca61276dfe7ead890b448baf', 'name': 'Tetris 2 + Bombliss (Japan) (Rev 1).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4972, 'md5': '08eb6ebffca40859ffb80f8130e42063', 'sha1': '7d29802903f3eaf94f14c547bcda2d5e4a994c80', 'name': 'Tetris 2 + Bombliss (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Tetris 2 + BomBliss,t2b
1739,"[{'id': 2499, 'md5': '5A5ACE7FA14AF00433C4A40E90442762', 'sha1': '75B6CC94A952875C936DABFBB6157F9A11C5AC49', 'name': '3-D Battles of World Runner, The (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4654, 'md5': 'F474926A59904B900FA415D6C5DD8947', 'sha1': '26CEB781C4DF69ED22F60F844BB0806FBEED30A3', 'name': 'Tobidase Daisakusen (Japan).fds', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'FDS', 'sourceDb': None}]",The 3-D Battles of WorldRunner,3dbowr
1740,"[{'id': 890, 'md5': None, 'sha1': None, 'name': 'Penguin-Kun Wars', 'type': 0, 'region': None, 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Penguin-Kun Wars,pkw
1747,"[{'id': 1895, 'md5': None, 'sha1': 'A82E6B7E27D194833AB8E97BA513CB06708D68BE', 'name': 'Pwn Adventure Z', 'type': 4, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Pwn Adventure Z,pwnadvz
1758,"[{'id': 2390, 'md5': None, 'sha1': None, 'name': 'NES-Pack', 'type': 0, 'region': None, 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",NES-Pack,nesp
1759,"[{'id': 1891, 'md5': '76FDF7F6623C9486360ADF5D6762D7DB', 'sha1': 'B633CC515C6A913D5A65A230E0698446331869A5', 'name': 'Lupin Sansei - Pandora no Isan (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Lupin Sansei: Pandora no Isan,lupin3
1761,"[{'id': 1103, 'md5': 'B0BA60BC0866EFC73CCD62DEFC0120D5', 'sha1': '30A06C63F13D33DC5BB307F15D4BE7D4478740AF', 'name': 'Mappy (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Mappy,mappy
1766,"[{'id': 1464, 'md5': '94956210D66C17FB24DA95520718D508', 'sha1': None, 'name': 'Kaizo Mario Bros. 3', 'type': 2, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Kaizo Mario Bros. 3,ksmb3
1770,"[{'id': 1116, 'md5': '48ED3F6F210E95FB3721221BA21AB7AD', 'sha1': 'B11ADC0A126702E09C7AF5BF7DF2258920029D97', 'name': 'Doki! Doki! Yuuenchi (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Doki! Doki! Yuuenchi,ddy
1780,"[{'id': 1452, 'md5': '47B941A83B91E698622062F91E4387B2', 'sha1': 'D1F65F92CF6775BA812C2A0B6F1A3E3F4E6E5339', 'name': 'Vegas Dream (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Vegas Dream,vegasdrm
1781,"[{'id': 1518, 'md5': 'E9F1CEE81084CA88287D0DAC715A76FC', 'sha1': '9DF81849911929CB0EFA161129A1FA42503E99FB', 'name': 'Palamedes II - Star Twinkles (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Palamedes II: Star Twinkles,palamed2
1782,"[{'id': 2377, 'md5': 'D4EA06909CFBA652D851827CD5194960', 'sha1': '8BFB8264E8AF94364E89B3B4C52F09B87D6DCBFC', 'name': ""Lee Trevino's Fighting Golf (U) [!].nes"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Lee Trevino's Fighting Golf,leetrvfg
1785,"[{'id': 1275, 'md5': '630871A5088F02894A743526231FA6A8', 'sha1': 'BDA3ED3921BB507DEA30CDE9A609EA2E81EA086D', 'name': 'Battle Kid 2 - Mountain of Torment (U)', 'type': 4, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Battle Kid 2: Mountain of Torment,batlkid2
1795,"[{'id': 1480, 'md5': '37DF88ADDCDFA294D6B66BA9A8BA6801', 'sha1': '301338BB8516F796C718BEA6A69137ADF9A18393', 'name': 'Mini Putt (J) [b1].nes', 'type': 3, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}, {'id': 3944, 'md5': 'D4D0DC17A0038AF101B36BAF9FFCADBF', 'sha1': '75741AA78F9FB877047357D1A7019827CF7415A9', 'name': 'Mini-Putt (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Mini Putt,miniputt
1803,"[{'id': 2662, 'md5': '24E3127778A8974E61B8D632FA581018', 'sha1': '5AEC90C9DC9E594886CE2D9AB25F5DAE203EB457', 'name': 'Bible Buffet (Wisdom Tree) (V6.0) [!].nes', 'type': 5, 'region': 'U', 'version': '6.0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 5052, 'md5': '32AE31D75283E028AAED76C7EBA54F59', 'sha1': 'F28787091C0A1D219DE7C1AC574B5F8BA94DFE04', 'name': 'Bible Buffet (Wisdom Tree) (V6.0) [o1].nes', 'type': 5, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.21'}]",Bible Buffet,biblbuft
1809,"[{'id': 1393, 'md5': '844FBD3D5F46143462B6E97669E20B02', 'sha1': 'D5AFFFF8E726832C70752ECC9E27A9552E8C402A', 'name': 'Bible Adventures (Wisdom Tree) (V1.3) [!].nes', 'type': 1, 'region': 'U', 'version': '1.3', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Bible Adventures,bibladv
1817,"[{'id': 2487, 'md5': 'DF311300E81B26D62BCC189A0BF49D18', 'sha1': '29BD3871447DF2AD02A5AB1EC2C9256E85A5C359', 'name': 'Track & Field II (U) (PRG0) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Track & Field II,trakfld2
1825,"[{'id': 1534, 'md5': 'E2C5DF63AF6617474B3338F968A21FFB', 'sha1': 'CD3C92B7C27940C53DA8ED11B905048AF439942A', 'name': 'Beetlejuice (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Beetlejuice,betljuce
1826,"[{'id': 2363, 'md5': 'B690E3EC5375BC4E33E7FFBDCAA42E89', 'sha1': '8BD8815AC4C09077145F2640BC37A5AC0E2B41EF', 'name': 'Beauty and the Beast (E) [!].nes', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",Beauty and the Beast,batb
1828,"[{'id': 1445, 'md5': '719540E6D45F69E972B5EE8263D97791', 'sha1': '456DAA7A983D1E215D9E516DB7CE5703CDF2D2F4', 'name': 'Hudson Hawk (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Hudson Hawk,hudshawk
1829,"[{'id': 1819, 'md5': '00228C95EDDBA9A604B6E8E3760A57B3', 'sha1': 'D7A35F5AD1F68284E64330EDA80A85335995C00A', 'name': 'Astro Robo Sasa (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",Astro Robo Sasa,asrosasa
1833,"[{'id': 2881, 'md5': 'DD53D022BB0B8D5A8D464690B14A0B30', 'sha1': 'E73EFD3E932B9E3501CE9C77418BDBF0D59D75CD', 'name': 'Takahashi Meijin no Bouken Shima IV (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Adventure Island IV,aisland4
1836,"[{'id': 1906, 'md5': '2E0D9726BA9E69FE548FB1924D3DB2F9', 'sha1': '3DEF6CCB01B4E571939D57BD65658DB27DA71D4F', 'name': 'Castelian (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 3186, 'md5': 'FD9A251B64BA25BF0661D96DB7B199E4', 'sha1': 'AF568E157B76A61DA9B92B2FD2F219CC6E171C90', 'name': 'Kyoro-chan Land (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Castelian,casteli
1840,"[{'id': 2384, 'md5': '500B1DFF51ABC465B26C069E9B730DD4', 'sha1': 'FC133E4EDA2CE05E163782D494AEDACE543A9ED2', 'name': 'R.C. Pro-Am (U) (PRG1) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG1', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",R.C. Pro-Am,rcproam
1842,"[{'id': 1419, 'md5': '0E66B4D4311922EBD00B968509DED1CA', 'sha1': '7114BC8B0AAD3094E59CCEDBA2845C1C032B15CC', 'name': 'T&C Surf Design (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Town & Country Surf Designs: Wood & Water Rage,t&csd
1846,"[{'id': 1207, 'md5': '216C212ED02B8CB4122AAAAA13CA8D23', 'sha1': '43E94E0EB5C9F568AE78149963A9118506BFDF9D', 'name': 'Circus Caper (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Circus Caper,circcapr
1855,"[{'id': 2689, 'md5': '6E83FC8E10924D6353B90B4C7FF436D6', 'sha1': 'CC41B336E78771E2AEEBA77A62E7B0E2F6D34836', 'name': 'Color a Dinosaur (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 3931, 'md5': '99DD1D23A46E68B7163DBC5BB69B9929', 'sha1': 'B84C5A8EA62EF3F1EEF920968284DC6CD4D6055D', 'name': 'Color a Dinosaur (USA)', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Color a Dinosaur,colrdino
1869,"[{'id': 2009, 'md5': '93FCC57FBCC8356FE9AC07034A065E67', 'sha1': '909CF73226210FE6E14C505CEA7BD2BEC72BBA99', 'name': 'Last Action Hero (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Last Action Hero,lastact
1885,"[{'id': 1012, 'md5': 'E92ED6A8F0C9A4108525BBFD40F1BA79', 'sha1': '592C8B6BE5816BA771B4FC18EC6A72CFEE06D2C7', 'name': ""T&C 2 - Thrilla's Surfari (U) [!].nes"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Town & Country Surf Designs II: Thrilla's Surfari,t&csd2
1886,"[{'id': 1212, 'md5': '74F6CDEB7B7C58D29949FE740C8402D5', 'sha1': '0E2ECD0DDFCB4EE1477A9ED8DEEC119A8D28DFAA', 'name': 'Short Order - Eggsplode (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Short Order,shortord
1894,"[{'id': 1729, 'md5': '7728550357CC8F6BDE097627885000AC', 'sha1': '31C0F267FF8246DB4C206C460CA6C99CD3390F8D', 'name': 'Raid on Bungeling Bay (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Raid on Bungeling Bay,raidobb
1903,"[{'id': 1892, 'md5': '5D8DDAF5D618C533C7B9CC2753AF03AB', 'sha1': 'FA6EE4BE0352A29E5C00F9511097B742F96CA839', 'name': 'Ge Ge Ge no Kitarou - Youkai Dai Makyou (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Ninja Kid,ninjakid
1919,"[{'id': 1397, 'md5': 'BD270896269D8C926B543F928FA2D0FE', 'sha1': 'B7128F71125070D5E4009C474D259811D029E8B6', 'name': 'Golf', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Golf,nesgolf
1920,"[{'id': 1805, 'md5': 'E2C0DAC808E04F3114BD214842582A49', 'sha1': 'E8E8120F4DB2EB26549B04634B13A1ABF5A6F3D3', 'name': 'Immortal, The (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",The Immortal,nes-immortal
1922,"[{'id': 1338, 'md5': 'F31987AA39A973985BC647C7517E032E', 'sha1': '6EADBBE4C2A1F7EDE2978F149B63270C72DB281F', 'name': 'Ikari Warriors (U) (PRG0) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Ikari Warriors,ikariwar
1943,"[{'id': 1681, 'md5': 'F30ECE4839330261B06C9A8898BA9A1B', 'sha1': 'CD80EB3A8A4CD6F006CA14B72F200C8C66FB7F9B', 'name': 'Super Glove Ball', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Super Glove Ball,sglovebl
1944,"[{'id': 1455, 'md5': '7F9FA5ACE3EBA6D27EBE89B7812BB097', 'sha1': '6D77CF7971C29EE6036D125E9D11755BE923BF94', 'name': 'Daiva - Imperial of Nirsartia (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",DAIVA Story 6: Nirsartia no Gyokuza,daiva6ng
1945,"[{'id': 1801, 'md5': '9EE8A97DE78792B095646C26D1D110AE', 'sha1': '417A3B9E762231388295DFE35577C24046334324', 'name': 'Kiteretsu Dai Hyakka (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Kiteretsu Daihyakka,kiterdai
2000,"[{'id': 1458, 'md5': '1A8A52A08DC9933E353CE0FED80C8DD3', 'sha1': '5187384BD5694E38E96F2695E251B08717C63F81', 'name': ""Super Spike V'Ball (U) [!].nes"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Super Spike V'Ball,ssvb
2002,"[{'id': 3, 'md5': 'ad5c1baaecf9e7201ece0214b898f885', 'sha1': '2f8ae874fd0bb87832cfb9474877fe6ed455fff2', 'name': '10-Yard Fight (J) (PRG0) [!]', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}, {'id': 5606, 'md5': '8caac792d5567da81e6846dbda833a57', 'sha1': '6416170dd2b2a741cfdade7ebec1cefb664e99e4', 'name': '10-Yard Fight (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",10-Yard Fight,10yf
2005,"[{'id': 2331, 'md5': '2B0A1EDD07C0F51650C53CB8D9373ADA', 'sha1': '37D2AF0F0F13A1611065E4FA020F38B451482E97', 'name': 'Aladdin (Unl) [p1][hM04].nes', 'type': 2, 'region': 'Other', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",Aladdin (Hummer Team),humalad
